tokens,BIO
"['Верховный', 'суд', 'Пакистана', 'отменил', 'смертную', 'казнь', 'для', 'обвиненной', 'в', '«', 'богохульстве', '»', 'христианки', 'Верховный', 'суд', 'Пакистана', 'отменил', 'смертную', 'казнь', 'для', 'христианки', 'Асии', 'Биби', ',', 'обвиненной', 'в', 'оскорблении', 'пророка', 'Мухаммеда', '.']","['B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O']"
"['Женщина', 'свою', 'вину', 'не', 'признала', 'и', 'обратилась', 'в', 'Высокий', 'суд', 'Лахора', ',', 'но', 'там', 'было', 'принято', 'решение', 'оставить', 'приговор', 'в', 'силе', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Эксперт', 'Международного', 'института', 'гуманитарно-политических', 'исследований', 'Владимир', 'Брутер', 'предсказал', 'скорую', 'отставку', 'правительству', 'Терезы', 'Мэй', ',', 'которой', '""', 'на', 'какой-то', 'период', 'времени', '<', '…', '>', 'нужен', 'такой', 'министр', 'иностранных', 'дел', ',', 'который', 'не', 'будет', 'ей', 'ни', 'в', 'чём', 'возражать', '""', '.']","['O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'B-PER', 'B-PER', 'O', 'O', 'O', 'B-ORG', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['В', 'настоящее', 'время', 'стороны', 'стремятся', 'до', 'октября', '2018', 'года', 'добиться', 'договоренности', 'по', 'вопросам', '""', 'Брекзита', '""', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-EVT', 'O', 'O']"
"['должна', 'покинуть', 'ЕС', '29', 'марта', '2019', 'года', '.']","['O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O']"
"['Понятно', ',', 'что', 'для', 'гордых', 'англичан', 'такая', 'потенциальная', 'зависимость', 'выглядит', 'неприемлемой', ',', 'да', 'и', 'терять', 'территории', 'Соединенного', 'Королевства', 'тоже', 'не', 'хочется', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'I-LOC', 'O', 'O', 'O', 'O']"
"['В', 'Карачи', 'активисты', 'стали', 'жечь', 'автомобильные', 'покрышки', '.']","['O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O']"
"['В', 'итоге', 'Джонсон', 'так', 'и', 'не', 'пришел', 'на', 'мероприятие', '.']","['O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Об', 'этом', 'в', 'понедельник', ',', '9', 'июля', ',', 'сообщает', 'пресс-служба', 'британского', 'правительства', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O']"
"['Разве', 'что', 'прическа', 'главы', 'МИД', 'Британии', '""', ',', '–', 'пошутил', 'он', 'в', 'своем', 'Twitter', '.']","['O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PRO', 'O']"
"['31', 'октября', 'Верховный', 'суд', 'отменил', 'смертный', 'приговор', '.']","['O', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'O']"
"['Она', 'отрицала', 'все', 'обвинения', 'в', 'собственный', 'адрес', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['По', 'его', 'данным', ',', 'это', 'произошло', 'на', 'фоне', 'провала', 'переговоров', 'о', 'судьбе', 'Биби', 'между', 'правительством', 'и', 'радикальными', 'исламистами', ',', 'которые', 'требуют', 'публичного', 'повешения', 'Биби', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O']"
"['Об', 'этом', 'сообщает', '""', '""', 'со', 'ссылкой', 'на', 'С', 'atholic', 'Н', 'erald', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O']"
"['До', 'этого', 'был', 'мэром', 'Лондона', '.']","['O', 'O', 'O', 'O', 'B-LOC', 'O']"
"['По', 'сообщению', 'пакистанского', 'телеканала', 'Samaa', 'TV', ',', 'адвокат', 'Саиф-ул-Мулук', 'начал', 'получать', 'сообщения', 'с', 'угрозами', 'расправы', 'после', 'того', ',', 'как', 'его', 'подзащитная', ',', 'христианка', 'Асия', 'Биби', 'была', 'оправдана', 'Верховным', 'судом', 'Пакистана', 'по', 'делу', 'о', 'богохульстве', '.']","['O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O']"
"['«', 'Становится', 'все', 'труднее', 'оставаться', 'в', 'Пакистане', ',', 'потому', 'что', 'закон', 'не', 'уважает', 'христиан', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Министерство', 'внутренних', 'дел', 'Пакистана', 'заявило', ',', 'что', 'ведет', 'переговоры', 'с', 'лидерами', 'протеста', 'о', 'поисках', 'мирного', 'выхода', 'из', 'сложившейся', 'ситуации', '.']","['B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Тереза', 'Мэй', 'хотя', 'и', 'приняла', 'его', 'отставку', ',', 'тем', 'не', 'менее', 'в', 'своем', 'письме', 'с', 'оттенками', 'возмущения', 'заметила', ',', 'что', 'Дэвис', 'подал', 'в', 'отставку', 'в', 'условиях', ',', 'когда', 'до', 'официального', 'выхода', 'Великобритании', 'из', 'Евросоюза', 'остаются', 'меньше', 'восьми', 'месяцев', '.']","['B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O']"
"['По', 'версии', 'обвинения', ',', 'во', 'время', 'ссоры', 'с', 'соседками', 'в', '2009', 'году', 'она', 'якобы', 'произнесла', 'три', 'оскорбительных', 'комментария', 'в', 'адрес', 'пророка', 'Мухаммада', ',', 'когда', 'те', 'посоветовали', 'ей', 'принять', 'ислам', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Она', 'добавила', ',', 'что', 'Россия', 'сожалеет', ',', 'что', '«', 'столько', 'времени', 'в', 'очередной', 'раз', 'упущено', 'для', 'развития', 'двусторонних', 'отношений', '»', '.']","['O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['»', '.']","['O', 'O']"
"['Новым', 'министром', 'по', 'делам', 'Brexit', 'станет', 'Доминик', 'Рааб', '.']","['O', 'O', 'O', 'O', 'B-EVT', 'O', 'B-PER', 'I-PER', 'O']"
"['Отставка', 'министров', 'спровоцировала', 'кризис', 'в', 'правительстве', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Ранее', 'Верховный', 'суд', 'Пакистана', 'оправдал', 'Азию', 'Биби', ',', 'которая', 'была', 'обвинена', 'в', 'богохульстве', 'и', 'приговорена', 'к', 'смертной', 'казни', '.']","['O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['После', 'отставки', 'Дэвиса', 'представитель', 'Европарламента', 'на', 'переговорах', 'по', '""', 'Брекзиту', '""', 'Ги', 'Верхофстадт', 'настаивает', 'на', 'их', 'продолжении', '.']","['O', 'O', 'B-PER', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'B-EVT', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O']"
"['«', 'Огромный', 'ущерб', 'правительство', 'Британии', 'нанесло', 'и', 'мировым', 'отношениям', 'в', 'том', 'числе', ',', 'придумывая', 'эти', 'грязные', 'игры', 'вокруг', '‘', '’', 'Новичков', '’', '’', ',', 'Скрипалей', ',', 'солидарности', 'и', 'так', 'далее', '»', ',', '—', 'сказала', 'госпожа', 'Захарова', '.']","['O', 'O', 'O', 'B-ORG', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PRO', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O']"
"['Ранее', 'в', 'ночь', 'на', 'понедельник', 'стало', 'известно', ',', 'что', 'свой', 'пост', 'покинул', 'министр', 'по', 'вопросам', '«', 'Брексита', '»', 'Дэвид', 'Дэвис', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-EVT', 'O', 'B-PER', 'I-PER', 'O']"
"['Однако', 'господин', 'Джонсон', 'ушел', 'в', 'отставку', 'по', 'своему', 'желанию', ',', 'не', 'согласившись', 'с', 'планом', 'выхода', 'Великобритании', 'из', 'ЕС', '.']","['O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'B-ORG', 'O']"
"['В', '2010', 'году', 'Биби', ',', 'которая', 'воспитывала', 'с', 'мужем', 'пятерых', 'детей', ',', 'приговорили', 'к', 'смертной', 'казни', '.']","['O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Биби', 'была', 'признана', 'виновной', 'в', 'оскорблении', 'пророка', 'Мухаммеда', ',', 'что', ',', 'в', 'соответствии', 'с', 'законодательством', 'Пакистана', ',', 'влечет', 'за', 'собой', 'высшую', 'меру', 'наказания', '.']","['B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['""', 'Столько', 'врать', 'миру', 'про', '""', 'руку', 'Кремля', '""', ',', '""', 'агрессию', 'против', 'Великобритании', 'на', 'территории', 'Великобритании', '""', ',', '""', 'Новичок', '""', ',', 'ЧМ-2018', 'и', 'т', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'B-PRO', 'O', 'O', 'B-EVT', 'O', 'O', 'O']"
"['Мужчина', 'заявил', ',', 'что', 'жизни', 'его', 'родных', 'угрожает', 'опасность', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Газета', 'Times', 'сообщила', ',', 'что', 'Мэй', 'пообещала', 'членам', 'правительства', 'отправить', 'в', 'отставку', 'главу', 'МИД', 'Бориса', 'Джонсона', 'и', 'других', 'министров', ',', 'если', 'они', 'попытаются', 'сорвать', 'план', 'Кабмина', 'по', 'плавному', 'выходу', 'из', 'Евросоюза', '.']","['O', 'B-PRO', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'B-ORG', 'O']"
"['Асия', 'возмутилась', ',', 'разгорелся', 'спор', ',', 'перешедший', 'в', 'потасовку', '.']","['B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['В', 'провинции', 'Пенджаб', 'произошли', 'столкновения', 'с', 'полицией', '.']","['O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O']"
"['Великобритания', 'официально', 'выйдет', 'из', 'состава', 'Евросоюза', 'в', 'марте', '2019', 'года', '.']","['B-LOC', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O']"
"['О', 'назначении', '51-летнего', 'консерватора', 'Джереми', 'Ханта', 'на', 'должность', 'главы', 'британского', 'МИД', 'Тереза', 'Мэй', 'объявила', 'вечером', '9', 'июля', '.']","['O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'B-ORG', 'B-PER', 'B-PER', 'O', 'O', 'O', 'O', 'O']"
"['была', 'приговорена', 'к', 'смерти', 'по', 'обвинению', 'в', 'оскорблении', 'пророка', 'Мухаммеда', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O']"
"['В', 'столице', 'Пакистана', ',', 'Исламабаде', ',', 'полиция', 'при', 'помощи', 'военизированных', 'подразделений', 'выставила', 'кордоны', 'вокруг', '«', 'красной', 'зоны', '»', '—', 'района', ',', 'в', 'котором', 'находится', 'здание', 'Верховного', 'суда', '.']","['O', 'O', 'B-LOC', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O']"
"['Назначение', 'случилось', 'наименее', 'чем', 'через', '12', 'часов', 'после', 'того', ',', 'как', 'Дэвис', 'ушел', 'в', 'отставку', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O']"
"['Значительная', 'часть', 'мусульман', ',', 'несогласных', 'с', 'решением', 'суда', ',', 'перекрыли', 'одну', 'из', 'главных', 'дорог', 'страны', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['В', 'ночь', 'с', 'воскресенья', 'на', 'понедельник', 'о', 'своей', 'отставке', 'объявил', 'Дэвис', ',', 'являвшийся', 'главным', 'переговорщиком', 'официального', 'Лондона', 'в', 'диалоге', 'с', 'Брюсселем', 'по', 'определению', 'дальнейшего', 'формата', 'отношений', 'между', 'Великобританией', 'и', 'ЕС', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'B-ORG', 'O']"
"['Глава', 'МИД', 'Великобритании', 'Борис', 'Джонсон', 'ушел', 'в', 'отставку', '-', 'СМИ', 'сообщили', 'причину', 'Борис', 'Джонсон', 'ушел', 'в', 'отставку', 'с', 'поста', 'министра', 'иностранных', 'дел', 'Великобритании', '.']","['O', 'B-ORG', 'B-LOC', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O']"
"['В', 'адрес', 'пакистанских', 'властей', 'звучали', 'обвинения', 'в', 'нарушении', 'прав', 'человека', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['В', 'пятницу', 'правительство', 'Британии', 'одобрило', 'единую', 'позицию', 'на', 'переговорах', 'с', 'ЕС', 'по', 'выходу', 'из', 'союза', '.']","['O', 'O', 'B-ORG', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O']"
"['Кроме', 'того', ',', 'Лондон', 'останется', 'участником', 'общеевропейского', 'рынка', 'и', 'таможенного', 'союза', '.']","['O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O']"
"['Переговоры', 'о', 'выходе', 'Англии', 'из', 'ЕС', 'зашли', 'в', 'тупик', '—', 'Тереза', 'Мэй', 'отказалась', 'пожать', 'руку', 'премьеру', 'Англии', 'прошла', 'мимо', 'Терезы', 'Мэй', ',', 'невзирая', 'на', 'то', ',', 'что', 'та', 'улыбалась', 'и', 'протягивала', 'ей', 'руку', '.']","['O', 'O', 'O', 'B-LOC', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'B-PER', 'B-PER', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'B-PER', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['А', 'это', 'уже', 'не', 'шутки', 'для', 'члена', 'британского', 'правительства', ':', 'одно', 'дело', 'российские', 'граждане', 'Скрипали', ',', 'на', 'которых', 'можно', 'проводить', 'любые', 'эксперименты', ',', 'а', 'другое', '-', 'собственные', 'люди', '""', ',', '-', 'написала', 'Мария', 'Захарова', 'в', 'Ранее', 'стало', 'известно', ',', 'что', 'министр', 'иностранных', 'дел', 'Великобритании', 'Борис', 'Джонсон', 'подал', 'в', 'отставку', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O']"
"['Как', 'говорится', 'в', 'официальном', 'объявлении', 'канцелярии', 'Мэй', ',', '«', 'королева', 'с', 'удовольствием', 'одобрила', 'назначение', 'Доминика', 'Рааба', 'в', 'качестве', 'министра', 'по', 'задачам', 'выхода', 'из', 'ЕС', '»', ',', 'передает', 'ТАСС', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'B-ORG', 'O']"
"['Доминик', 'Рааб', 'стал', 'новым', 'министром', 'Англии', 'по', 'задачам', 'Brexit', 'До', 'своего', 'нового', 'назначения', 'Рааб', 'занимал', 'должность', 'заместителя', 'министра', 'по', 'задачам', 'регионов', 'и', 'местного', 'самоуправления', '.']","['B-PER', 'I-PER', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'B-EVT', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Женщину', 'обвинили', 'в', 'оскорблении', 'пророка', 'Мухаммеда', 'в', '2010', 'году', 'после', 'того', ',', 'как', 'она', 'принесла', 'мусульманкам', 'воды', ',', 'которая', 'по', 'их', 'мнению', 'стала', 'нечистой', 'от', 'прикосновения', 'христианки', 'к', 'кувшину', '.']","['O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Так', 'в', 'январе', 'этого', 'года', 'врачи', 'десятков', 'отделений', 'скорой', 'помощи', 'по', 'всей', 'стране', 'даже', 'вынуждены', 'были', 'пожаловаться', 'премьер-министру', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Д', '.']","['B-PER', 'I-PER']"
"['В', 'рамках', 'следствия', 'Биби', 'заявила', ',', 'что', 'женщины', 'допускали', 'оскорбительные', 'высказывания', 'в', 'ее', 'адрес', 'в', 'связи', 'с', 'тем', ',', 'что', 'она', 'относит', 'себя', 'к', 'христианам', '.']","['O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['В', 'то', 'время', 'как', 'два', 'ключевых', 'министра', ',', 'которые', 'теперь', 'в', 'отставке', ',', 'считают', 'такую', 'стратегию', 'ослабляющей', 'страну', ',', 'она', 'не', 'позволит', 'влиять', 'на', 'решения', 'ЕС', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O']"
"['""', ',', '-', 'написал', 'Д', '.']","['O', 'O', 'O', 'O', 'B-PER', 'I-PER']"
"['Раскол', 'у', 'консерваторов', 'может', 'иметь', 'тяжелые', 'последствия', 'для', 'Мэй', '.']","['O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O']"
"['Тем', 'не', 'менее', ',', 'этот', 'инцидент', ',', 'пишет', 'агентство', ',', '""', 'возмутил', 'христиан', 'во', 'всем', 'мире', 'и', 'стал', 'источником', 'разделения', 'внутри', 'Пакистана', '""', ',', 'где', 'были', 'убиты', 'два', 'политика', ',', 'стремившиеся', 'помочь', 'Биби', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O']"
"['Это', 'произошло', 'после', 'того', ',', 'как', 'его', 'предшественник', 'ушел', 'в', 'знак', 'протеста', 'против', 'планов', 'правительства', 'относительно', 'тесных', 'торговых', 'отношений', 'с', 'Европейским', 'союзом', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O']"
"['В', '2014', 'году', 'патриарх', 'Московский', 'и', 'всея', 'Руси', 'Кирилл', 'просил', 'президента', 'Пакистана', 'помиловать', 'Биби', '.']","['O', 'O', 'O', 'B-PER', 'I-PER', 'I-PER', 'I-PER', 'I-PER', 'I-PER', 'O', 'O', 'B-LOC', 'O', 'B-PER', 'O']"
"['Новость', 'дополняется', '.']","['O', 'O', 'O']"
"['О', 'правительственном', 'кризисе', 'в', 'Великобритании', 'говорит', 'и', 'представитель', 'МИД', 'России', 'Мария', 'Захарова', 'на', 'своей', 'странице', 'в', 'Facebook', '.']","['O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'B-PRO', 'O']"
"['Пожалуйста', '.']","['O', 'O']"
